State,Identifier,Theme,Summary,Status,Link,Lat,Lon,Source
AK,HB80,Housing Policy,Residential Building Code,REFERRED TO LABOR & COMMERCE,https://legiscan.com/AK/bill/HB80/2025,61.370716,-152.404419,LegiScan AK
AK,HB168,Housing Policy,Civics Education,REFERRED TO EDUCATION,https://legiscan.com/AK/bill/HB168/2025,61.370716,-152.404419,LegiScan AK
AK,HB334,Housing Policy,"Unhoused Young Adults: Ids, Birth Cert.",REFERRED TO FINANCE,https://legiscan.com/AK/bill/HB334/2025,61.370716,-152.404419,LegiScan AK
AK,HB346,Housing Policy,"Airports: Municipal Zoning, Buffers",REFERRED TO TRANSPORTATION,https://legiscan.com/AK/bill/HB346/2025,61.370716,-152.404419,LegiScan AK
AK,SB23,Housing Policy,Civics Education,CROSS SPONSOR(S): STAPP,https://legiscan.com/AK/bill/SB23/2025,61.370716,-152.404419,LegiScan AK
AK,SB30,Housing Policy,State Park Permits For Disabled Veterans,REFERRED TO FINANCE,https://legiscan.com/AK/bill/SB30/2025,61.370716,-152.404419,LegiScan AK
AK,SB209,Housing Policy,Grad Requirements & Proficiency Tools,REFERRED TO EDUCATION,https://legiscan.com/AK/bill/SB209/2025,61.370716,-152.404419,LegiScan AK
AK,SB261,Housing Policy,"Unhoused Young Adults: Ids, Birth Cert.",REFERRED TO FINANCE,https://legiscan.com/AK/bill/SB261/2025,61.370716,-152.404419,LegiScan AK
AZ,HB2337,Housing Policy,Zoning; use permits; votes; requirements,House read second time,https://legiscan.com/AZ/bill/HB2337/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB2359,Housing Policy,Adult incarceration contractors; public records,House read second time,https://legiscan.com/AZ/bill/HB2359/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB2374,Housing Policy,Zoning commissioners; conflict of interest,House read second time,https://legiscan.com/AZ/bill/HB2374/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB2375,Housing Policy,Housing; zoning; historic neighborhoods,Senate read second time,https://legiscan.com/AZ/bill/HB2375/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB2493,Housing Policy,Small modular reactors; manufacturing; zoning,House read second time,https://legiscan.com/AZ/bill/HB2493/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB2494,Housing Policy,Certificate; environmental compatibility; zoning; exemption,Senate minority caucus: Do pass,https://legiscan.com/AZ/bill/HB2494/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB2495,Housing Policy,Sentencing enhancements; vulnerable adults,House motion to reconsider third reading,https://legiscan.com/AZ/bill/HB2495/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB2587,Housing Policy,Adult content websites; blocking option,House read second time,https://legiscan.com/AZ/bill/HB2587/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB2795,Housing Policy,Small modular reactors; zoning; approval,Senate third reading FAILED voting: (15-13-2-0),https://legiscan.com/AZ/bill/HB2795/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB2844,Housing Policy,Adult incarceration contracts; services; costs,House read second time,https://legiscan.com/AZ/bill/HB2844/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB4028,Housing Policy,Accessory dwelling units; requirements,"House APPROP Committee action: Failed To Pass, voting: (8-9-1-0-0-0)",https://legiscan.com/AZ/bill/HB4028/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB4120,Housing Policy,ADE; high school graduates; verification,House read second time,https://legiscan.com/AZ/bill/HB4120/2026,33.729759,-111.431221,LegiScan AZ
AZ,HB4136,Housing Policy,Unlawful entry; vulnerable adults; vagrants,House additional Committee of the Whole action: Do Pass Amended,https://legiscan.com/AZ/bill/HB4136/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1096,Housing Policy,Religious institutions; allowed use; zoning,Senate read second time,https://legiscan.com/AZ/bill/SB1096/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1105,Housing Policy,Rental; accessory dwelling units; prohibition,Senate read second time,https://legiscan.com/AZ/bill/SB1105/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1118,Housing Policy,Historic neighborhoods; housing; zoning,House Committee of the Whole action: Do Pass Amended,https://legiscan.com/AZ/bill/SB1118/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1169,Housing Policy,Appropriations; graduate medical education program,House read second time,https://legiscan.com/AZ/bill/SB1169/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1183,Housing Policy,Accessory dwelling units; fire sprinklers,Senate read second time,https://legiscan.com/AZ/bill/SB1183/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1232,Housing Policy,Signs; military compatibility permit zoning,Senate minority caucus: Conference,https://legiscan.com/AZ/bill/SB1232/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1473,Housing Policy,Assisted living homes; occupancy; zoning,Chapter 19,https://legiscan.com/AZ/bill/SB1473/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1512,Housing Policy,Vulnerable adults; theft; definitions,House Committee of the Whole action: Do Pass,https://legiscan.com/AZ/bill/SB1512/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1593,Housing Policy,Appropriation; adult protective services,Senate read second time,https://legiscan.com/AZ/bill/SB1593/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1601,Housing Policy,Zoning; housing; historic neighborhoods,Senate read second time,https://legiscan.com/AZ/bill/SB1601/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1619,Housing Policy,Municipal zoning; maximum density; residential,Senate read second time,https://legiscan.com/AZ/bill/SB1619/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1680,Housing Policy,Grazing; agriculture; county zoning,Senate read second time,https://legiscan.com/AZ/bill/SB1680/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1769,Housing Policy,Adult immunizations; reporting requirements,Senate read second time,https://legiscan.com/AZ/bill/SB1769/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1778,Housing Policy,Juvenile sentenced as adult; sentencing,Senate read second time,https://legiscan.com/AZ/bill/SB1778/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1779,Housing Policy,Mandatory inclusionary zoning; prohibition,Senate read second time,https://legiscan.com/AZ/bill/SB1779/2026,33.729759,-111.431221,LegiScan AZ
AZ,SB1819,Housing Policy,Vertiports; design; zoning,Senate consent calendar,https://legiscan.com/AZ/bill/SB1819/2026,33.729759,-111.431221,LegiScan AZ
AR,HB1095,Housing Policy,"An Act For The Department Of Human Services - Division Of Aging, Adult, And Behavioral Health Services Reappropriation.",Notification that HB1095 is now Act 115,https://legiscan.com/AR/bill/HB1095/2026,34.969704,-92.373123,LegiScan AR
AR,SB16,Housing Policy,"An Act For The Department Of Parks, Heritage, And Tourism - Capitol Zoning District Commission Appropriation For The 2026-2027 Fiscal Year. ",Notification that SB16 is now Act 131,https://legiscan.com/AR/bill/SB16/2026,34.969704,-92.373123,LegiScan AR
AR,SB21,Housing Policy,"An Act For The Department Of Human Services - Division Of Aging, Adult, And Behavioral Health Services Appropriation For The 2026-2027 Fiscal Year. ",Notification that SB21 is now Act 149,https://legiscan.com/AR/bill/SB21/2026,34.969704,-92.373123,LegiScan AR
AR,SB63,Housing Policy,"An Act For The Department Of Human Services - Division Of Aging, Adult, And Behavioral Health Services Supplemental Appropriation.",Notification that SB63 is now Act 139,https://legiscan.com/AR/bill/SB63/2026,34.969704,-92.373123,LegiScan AR
CA,AB87,Housing Policy,Housing development: density bonuses.,"Chaptered by Secretary of State - Chapter 486, Statutes of 2025.",https://legiscan.com/CA/bill/AB87/2025,36.116203,-119.681564,LegiScan CA
CA,AB90,Housing Policy,Public postsecondary education: overnight student parking.,In committee: Held under submission.,https://legiscan.com/CA/bill/AB90/2025,36.116203,-119.681564,LegiScan CA
CA,AB251,Housing Policy,Elders and dependent adults: abuse or neglect.,"Chaptered by Secretary of State - Chapter 433, Statutes of 2025.",https://legiscan.com/CA/bill/AB251/2025,36.116203,-119.681564,LegiScan CA
CA,AB301,Housing Policy,Planning and zoning: housing development projects: postentitlement phase permits: state agencies.,"Chaptered by Secretary of State - Chapter 488, Statutes of 2025.",https://legiscan.com/CA/bill/AB301/2025,36.116203,-119.681564,LegiScan CA
CA,AB436,Housing Policy,Composting facilities: zoning.,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,https://legiscan.com/CA/bill/AB436/2025,36.116203,-119.681564,LegiScan CA
CA,AB462,Housing Policy,Land use: accessory dwelling units.,"Chaptered by Secretary of State - Chapter 491, Statutes of 2025.",https://legiscan.com/CA/bill/AB462/2025,36.116203,-119.681564,LegiScan CA
